country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990
Costa Rica,0,0,0,0,0,0,0,0,0,0,0
Cote dIvoire (IvoryCoast),NA,0.05,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Croatia,--,--,--,--,--,--,--,--,--,--,--
Cuba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyprus,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,--,--,--,--,--,--,--,--,--,--,--
Denmark,0.4,0.5,0.5,0.5,0.3,0.4,0.5,0.4,0.4,0.9,0.8
Djibouti,0,0,0,0,0,0,0,0,0,0,0
Dominica,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0
Ecuador,1.1,1.1,0.9,1.4,1.7,1.4,1.7,1.7,1.6,1.4,1.5
Egypt,3.1,2.9,2.9,3.3,3.5,3.2,3.9,3.6,4.3,4.3,4.5
El Salvador,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eritrea,--,--,--,--,--,--,--,--,--,--,--
Estonia,--,--,--,--,--,--,--,--,--,--,--
Ethiopia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Falkland Islands (Islas Malvinas),0,0,0,0,0,0,0,0,0,0,0
Faroe Islands,0,0,0,0,0,0,0,0,0,0,0
Fiji,0,0,0,0,0,0,0,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0,0,0
Former Czechoslovakia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Former Serbia and Montenegro,--,--,--,--,--,--,--,--,--,--,--
Former U.S.S.R.,67,63,63,63,63,63,61,59,59,59,58
Former Yugoslavia,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,0.05,0.04,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2
French Guiana,0,0,0,0,0,0,0,0,0,0,0
French Polynesia,0,0,0,0,0,0,0,0,0,0,0
Gabon,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7
"Gambia, The",0,0,0,0,0,0,0,0,0,0,0
Georgia,--,--,--,--,--,--,--,--,--,--,--
Germany,--,--,--,--,--,--,--,--,--,--,--
"Germany, East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Germany, West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ghana,0.007,0.0063,0.00231,0.0054,0.0038,0.0038,0.0038,0.00235,0.001,0.001,0.001
Gibraltar,0,0,0,0,0,0,0,0,0,0,0
Greece,0.2,0.2,0.073,0.05978,0.051,0.051,0.0346,0.026,0.0216,0.02,0.0725
Greenland,0,0,0,0,0,0,0,0,0,0,0
Grenada,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,0,0,0,0,0,0,0,0,0,0,0
Guam,0,0,0,0,0,0,0,0,0,0,0
Guatemala,0.016,0.02,0.055,0.05,0.048,0.5,0.05,0.023,0.0415,0.08083,0.0416
Guinea,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0
Guyana,0,0,0,0,0,0,0,0,0,0,0
Haiti,0,0,0,0,0,0,0,0,0,0,0
Hawaiian Trade Zone,0,0,0,0,0,0,0,--,--,--,--
Honduras,0,0,0,0,0,0,0,0,0,0,0
Hong Kong,0,0,0,0,0,0,0,0,0,0,0
Hungary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iceland,0,0,0,0,0,0,0,0,0,0,0
India,2.6,2.6,2.7,3.4,3.5,3.5,3.7,4.2,4.3,6.4,7.5
Indonesia,9.6,9.5,9.8,9.6,9.1,8.7,8.5,8.3,8.4,8.3,8.2
Iran,58,58,57,55,51,49,48,49,93,93,93
Iraq,31,30,30,41,43,45,44,47,100,100,100
Ireland,0,0,0,0,0,0,0,0,0,0,0
Israel,0.001,0.001,0.00095,0.000893,0.0008,0.00075,0.00071,0.0007,0.0007,0.001619,0.001483
Italy,0.6,0.6,0.6,0.7,0.8,0.8,0.7,0.7,0.7,0.7,0.7
Jamaica,0,0,0,0,0,0,0,0,0,0,0
Japan,0.055,0.052,0.07,0.06,0.058,0.056,0.062,0.057,0.05679,0.0545,0.060818
Jordan,NA,NA,NA,NA,NA,NA,NA,NA,0.012,0.005,0.005
Kazakhstan,--,--,--,--,--,--,--,--,--,--,--
Kenya,0,0,0,0,0,0,0,0,0,0,0
Kiribati,0,0,0,0,0,0,0,0,0,0,0
"Korea, North",0,0,0,0,0,0,0,0,0,0,0
"Korea, South",0,0,0,0,0,0,0,0,0,0,0
Kosovo,--,--,--,--,--,--,--,--,--,--,--
Kuwait,69,68,68,67,67,93,92,95,95,95,97
Kyrgyzstan,--,--,--,--,--,--,--,--,--,--,--
Laos,0,0,0,0,0,0,0,0,0,0,0
Latvia,--,--,--,--,--,--,--,--,--,--,--
Lebanon,0,0,0,0,0,0,0,0,0,0,0
Lesotho,0,0,0,0,0,0,0,0,0,0,0
Liberia,0,0,0,0,0,0,0,0,0,0,0
Libya,24,23,23,22,21,21,21,21,21,22,23
Lithuania,--,--,--,--,--,--,--,--,--,--,--
Luxembourg,0,0,0,0,0,0,0,0,0,0,0
Macau,0,0,0,0,0,0,0,0,0,0,0
Macedonia,--,--,--,--,--,--,--,--,--,--,--
Madagascar,0,0,0,0,0,0,0,0,0,0,0
Malawi,0,0,0,0,0,0,0,0,0,0,0
Malaysia,2.8,3,2.8,3.3,3,3,3.1,2.8,2.9,2.9,3
Maldives,0,0,0,0,0,0,0,0,0,0,0
Mali,0,0,0,0,0,0,0,0,0,0,0
Malta,0,0,0,0,0,0,0,0,0,0,0
Martinique,0,0,0,0,0,0,0,0,0,0,0
Mauritania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mauritius,0,0,0,0,0,0,0,0,0,0,0
Mexico,31,44,57,48,48,49,49,55,49,54,56
Moldova,--,--,--,--,--,--,--,--,--,--,--
Mongolia,0,0,0,0,0,0,0,0,0,0,0
Montenegro,--,--,--,--,--,--,--,--,--,--,--
Montserrat,0,0,0,0,0,0,0,0,0,0,0
Morocco,0.0001,7.50E-05,0.00032,0.00029,0.00022,0.00025,0.00025,0.0003,0.0027,0.0026,0.0025
Mozambique,0,0,0,0,0,0,0,0,0,0,0
Namibia,--,--,--,--,--,--,--,--,--,--,0
Nauru,0,0,0,0,0,0,0,0,0,0,0
Nepal,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0.06,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2
Netherlands Antilles,0,0,0,0,0,0,0,0,0,0,0
New Caledonia,0,0,0,0,0,0,0,0,0,0,0
New Zealand,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1
Nicaragua,0,0,0,0,0,0,0,0,0,0,0
Niger,0,0,0,0,0,0,0,0,0,0,0
Nigeria,17,17,17,17,17,17,17,16,16,16,16
Niue,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands,-,-,-,-,-,-,-,-,-,-,-
Norway,5.8,5.5,7.6,6.8,7.7,8.3,11,11,15,10,12
Oman,2.4,2.3,2.6,2.7,2.8,3.5,4,4,4,4.1,4.3
Pakistan,0.2,0.2,0.2,0.2,0.0829,0.082,0.1,0.096,0.096,0.2,0.1
Palestinian Territories,--,--,--,--,--,--,--,--,--,--,--
Panama,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea,NA,NA,NA,NA,NA,0.05,0.05,0.065,0.2,0.2,0.2
Paraguay,0,0,0,0,0,0,0,0,0,0,0
Peru,0.7,0.7,0.8,0.8,0.8,0.7,0.6,0.5,0.5,0.5,0.4
Philippines,0.025,0.02,0.023,0.0356,0.0163,0.0163,0.0163,0.0169,0.016,0.0158,0.015
Poland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Portugal,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico,0,0,0,0,0,0,0,0,0,0,0
Qatar,3.8,3.6,3.4,3.4,3.3,3.4,3.3,3.2,3.2,3.2,4.5
Reunion,0,0,0,0,0,0,0,0,0,0,0
Romania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Russia,--,--,--,--,--,--,--,--,--,--,--
Rwanda,0,0,0,0,0,0,0,0,0,0,0
Saint Helena,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent/Grenadines,0,0,0,0,0,0,0,0,0,0,0
Samoa,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,166,168,168,165,169,172,171,169,170,173,258
Senegal,0,0,0,0,0,0,0,0,0,0,0
Serbia,--,--,--,--,--,--,--,--,--,--,--
Seychelles,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,0,0,0,0,0,0,0,0,0,0,0
Singapore,0,0,0,0,0,0,0,0,0,0,0
Slovakia,--,--,--,--,--,--,--,--,--,--,--
Slovenia,--,--,--,--,--,--,--,--,--,--,--
Solomon Islands,0,0,0,0,0,0,0,0,0,0,0
Somalia,0,0,0,0,0,0,0,0,0,0,0
South Africa,NA,NA,NA,0.1,0.1,0.1,NA,NA,NA,NA,NA
Spain,0.2,0.4,0.1,0.1,0.2,0.1,0.09,0.0282,0.0386,0.025955,0.025
Sri Lanka,0,0,0,0,0,0,0,0,0,0,0
Sudan,NA,NA,0.2,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Suriname,NA,NA,NA,NA,NA,NA,0.001,0.001,0.027,0.0287,0.0282
Swaziland,0,0,0,0,0,0,0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0
Switzerland,0,0,0,0,0,0,0,0,0,0,0
Syria,2,1.9,1.9,1.5,1.5,1.5,1.4,1.4,1.8,1.7,1.7
Taiwan,0.0102,0.009,0.008,0.0067,0.0062,0.0057,0.0055,0.0054,0.0054,0.005,0.0046
Tajikistan,--,--,--,--,--,--,--,--,--,--,--
Tanzania,0,0,0,0,0,0,0,0,0,0,0
Thailand,0,0,0,0.1,0.045,0.2,0.1,0.1,0.099,0.0852,0.2
Timor-Leste (East Timor),--,--,--,--,--,--,--,--,--,--,--
Togo,0,0,0,0,0,0,0,0,0,0,0
Tonga,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,0.7,0.7,0.6,0.6,0.6,0.5,0.5,0.6,0.6,0.5,0.5
Tunisia,2.3,1.7,1.7,1.9,1.8,1.5,1.8,1.8,1.8,1.8,1.8
Turkey,0.1,0.1,0.3,0.3,0.4,0.3,0.3,0.4,0.4,0.4,0.5
Turkmenistan,--,--,--,--,--,--,--,--,--,--,--
Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,0,0
U.S. Pacific Islands,0,0,0,0,0,0,0,0,0,0,0
U.S. Territories,-,-,-,-,-,-,-,-,-,-,-
Uganda,0,0,0,0,0,0,0,0,0,0,0
Ukraine,--,--,--,--,--,--,--,--,--,--,--
United Arab Emirates,29,30,32,32,32,32,33,33,98,98,98
United Kingdom,15,15,15,14,13,14,13,9,5.2,5.2,4.3
United States,31,31,31,29,29,30,30,28,29,28,28
Uruguay,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan,--,--,--,--,--,--,--,--,--,--,--
Vanuatu,0,0,0,0,0,0,0,0,0,0,0
Venezuela,18,18,20,22,25,26,26,25,56,58,59
Vietnam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virgin Islands,  U.S.",0,0,0,0,0,0,0,0,0,0,0
"Virgin Islands, British",0,0,0,0,0,0,0,0,0,0,0
Wake Island,0,0,0,0,0,0,0,0,0,0,0
Western Sahara,0,0,0,0,0,0,0,0,0,0,0
Yemen,NA,NA,NA,NA,NA,NA,0.2,0.5,0.6,4.4,4
Zambia,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe,0,0,0,0,0,0,0,0,0,0,0
